Nombre Carpeta;Nombre Imagen;Ruta Imagen;Descripciones imagenes
juice_bottle/train/good;334.png;https://drive.google.com/uc?id=1X_PGcozFEQ-8AnJeDx6dOLcMxzhAvmtq;"This image shows a clear glass bottle filled with a reddish-brown liquid, capped with a transparent lid. The bottle features two labels: one with an image of two cherries in red on a yellow background, and another stating ""100% Juice"" also on a yellow background. The labels appear to be slightly reflective. There are no visible deformities or anomalies on the bottle itself. The liquid inside is filled up to the shoulder of the bottle, with minimal air space visible. The glass appears clean and clear, with no noticeable scratches or cracks. The background is a dark, non-reflective surface that contrasts with the bottle."
juice_bottle/train/good;333.png;https://drive.google.com/uc?id=1tRXtW7rRfEQAtjqO1XkVEd2JLzDW16kH;"The image shows a small, clear glass bottle containing yellow liquid, labeled with an orange graphic and the text ""100% Juice."" The label appears neatly centered on the front of the bottle. The juice level is consistent, although slightly below the neck of the bottle, which appears to be tightly closed. The glass is clean and free of visible cracks or scratches. There are no visible impurities or discoloration in the liquid. The bottle is set against a plain black background, providing a clear view of its contents and label."
juice_bottle/train/good;332.png;https://drive.google.com/uc?id=1amTiszb4HbqgoxfCuOKKQBCBeXHmpelP;"The image shows a clear glass bottle containing a reddish-brown liquid. The bottle has a simple cylindrical shape with a slight neck indentation. There is a label on the front featuring a picture of two cherries on a yellow background. Below this image is another label stating ""100% Juice."" The liquid level is just below the neck ridge, and the bottle is tightly sealed. The overall presentation appears neat. The image background is black, providing contrast to the bottle. There are no visible anomalies such as cracks or discolorations on the bottle or the label."
juice_bottle/train/good;330.png;https://drive.google.com/uc?id=1iTDCzPgCO8wo4xO48VvlQ8Fvl29zHl_f;"The image shows a transparent glass bottle filled with a light-colored liquid. The bottle has a screw-top neck and appears to be sealed. There is a label on the front of the bottle featuring an illustration of bananas, and beneath it, the text reads ""100% Juice."" The label has a yellow background. The liquid inside the bottle is slightly opaque, and there are no visible anomalies on the label or the glass surface. The background is dark, creating a strong contrast with the bottle."
juice_bottle/train/good;328.png;https://drive.google.com/uc?id=1ZTgQ-P6G_7iDkC4iaVrD7_P4hC_nORzW;"The image shows a small glass bottle with a cherry-colored liquid inside. The bottle has a rectangular label with an illustration of two cherries on a stem and the text ""100% Juice"" below it. The liquid in the bottle appears to have some air bubbles on the surface. The glass is clear and free of any visible scratches or defects, and the labels are straight and adhere smoothly to the bottle. The overall appearance is clean and well-presented."
juice_bottle/train/good;329.png;https://drive.google.com/uc?id=1x6P-eo1pqNLQv93-C37hGqZvk2j2mqCh;"The image shows a clear glass bottle filled with a pale, creamy liquid. The bottle has a screw top and a smooth neck. There are two labels on the front of the bottle. The top label features an illustration of a bunch of bananas on a yellow background, and the bottom label reads ""100% Juice"" in black text on a yellow background. The labels appear to be securely attached and centered. The liquid inside appears consistent in color. The glass surface is reflective, and there are no visible scratches or signs of damage on the bottle."
juice_bottle/train/good;326.png;https://drive.google.com/uc?id=19vD8ddnSg37nEy5oE1eL0mQI0u_xYcMA;"This image shows a small, clear glass bottle containing an opaque, off-white liquid. The bottle features two labels: one at the top displaying an illustration of bananas against a yellow background, and another at the bottom reading ""100% Juice."" The labels appear to be slightly misaligned. The bottle and its contents are well-sealed, and no visible imperfections or damage to the glass are evident. The background is solid black, providing high contrast with the bottle. No noticeable debris or markings are present on the bottle's surface."
juice_bottle/train/good;327.png;https://drive.google.com/uc?id=1jadw0G93gLJBJj--4foZ1m-vZiBRbiR7;"The image shows a clear glass bottle filled with a light yellow liquid, which is likely a banana-flavored beverage as suggested by the label. The neck of the bottle is slightly narrower, featuring a visible glass thread meant for sealing. The label displays an illustration of bananas and text that reads ""100% Juice."" The bottle's surface appears clean with no visible cracks or scratches. The liquid inside is slightly opaque, and there are no visible impurities or sediment. The background is solid black, offering a clear contrast to highlight the bottle."
juice_bottle/train/good;324.png;https://drive.google.com/uc?id=1zramnSRVAri1a3oQY4NgJl-A9sDnQShI;"The image shows a clear glass bottle filled with a yellow liquid, likely juice. At the top, the cap area appears to be transparent without any closure. The bottle has a square label featuring a simple drawing of fruit, resembling an orange-like object with a green leaf. Below this, another label reads ""100% Juice"" in bold black text against a light-colored background. The bottle appears clean and well-formed, with no visible damage or deformation. The labels are neatly attached and align well with the bottle's body. The background is black, providing a clear contrast to the bottle."
juice_bottle/train/good;325.png;https://drive.google.com/uc?id=15QiaO2LuXN8X3twqXaLqHsda4Pj3RRLY;"The image displays a small clear glass bottle filled with a light yellow liquid. The bottle has a label on its front with an illustration of an orange and a green leaf, and another label below indicating ""100% Juice."" The liquid appears smooth with no visible sedimentation. The glass of the bottle is clean and clear, with no visible scratches or deformities. The cap is not visible in the image, and there are no additional labels or markings present. The background is plain black, providing contrast to the bottle."
